# category|tier|unlockLevel|maxPoints|prereqPointsPrevTier|effect (0 = per-point value placeholder). Source: https://undecember.thein.ru/en/runemaster/
Attack|1|1|50|0|+0% DMG upon Attack
Attack|2|2|25|25|+0% DMG upon Attack
Attack|3|10|10|13|Amplifies DMG by 0% upon attacking
Attack|4|30|2|5|+0 Attack DMG Skill Rune Level
Attack|1|5|10|0|+0% Attack Critical Rate
Attack|2|10|20|5|+0% Attack Critical DMG
Attack|1|5|10|0|+0% Attack Speed
Attack|2|10|10|5|0% Attack Speed Amplification
Attack|1|1|10|0|+0% Attack Hit Rate
Attack|2|10|10|5|0% Attack Hit Rate Amplification
Spell|1|1|50|0|+0% DMG upon Spell
Spell|2|2|25|25|+0% DMG upon Spell
Spell|3|10|10|13|0% DMG upon Spell Amplification
Spell|4|30|2|5|+0 Spell DMG Skill Rune Level
Spell|1|5|10|0|+0% Spell Critical Rate
Spell|2|10|20|5|+0% Spell Critical DMG
Spell|1|5|10|0|+0% Cast Speed
Spell|2|10|10|5|0% Cast Speed Amplification
Spell|1|1|10|0|+0% Spell Hit Rate
Spell|2|10|10|5|0% Spell Hit Rate Amplification
DoT|1|1|50|0|+0% DoT
DoT|2|2|25|25|+0% DoT
DoT|3|10|10|13|0% DoT Amplification
DoT|4|30|2|5|+0 DoT Skill Rune Level
Trap|1|1|50|0|+0% Trap DMG
Trap|2|2|25|25|+0% Trap DMG
Trap|3|10|10|13|0% Trap DMG Amplification
Trap|4|30|2|5|+0 Trap Skill Rune Level
DMG by status|1|5|10|0|0% DMG Amplification against enemies affected by Fire Status Effect
DMG by status|1|5|10|0|0% DMG Amplification against enemies affected by Cold Status Effect
DMG by status|1|5|10|0|0% DMG Amplification against enemies affected by Lightning Status Effect
DMG by status|1|5|10|0|0% DMG Amplification against enemies affected by Poison Status Effect
DMG by status|1|5|10|0|0% DMG Amplification against enemies affected by Physical Status Effect
Penetration|1|5|10|0|+0% Armor Penetration
Penetration|1|5|10|0|+0% Cold Penetration
Penetration|2|15|10|5|+0 Cold Penetration
Penetration|1|5|10|0|+0% Poison Penetration
Penetration|2|15|10|5|+0 Poison Penetration
Penetration|1|5|10|0|+0% Fire Penetration
Penetration|2|15|10|5|+0 Fire Penetration
Penetration|1|5|10|0|+0% Lightning Penetration
Penetration|2|15|10|5|+0 Lightning Penetration
Minion|1|1|50|0|+0% Minion DMG
Minion|2|2|25|25|+0% Minion DMG
Minion|3|10|10|13|0% Minion DMG Amplification
Minion|4|30|2|5|+0 Minion Skill Rune Level
Minion|1|5|10|0|+0% Minion Critical Rate
Minion|2|10|20|5|+0% Minion Critical DMG
Minion|1|5|10|0|+0% Minion Attack Speed
Minion|2|10|10|5|0% Minion Attack Speed Amplification
Minion|1|1|10|0|+0% Minion Hit Rate
Minion|2|10|10|5|0% Minion Hit Rate Amplification
Minion|1|5|10|0|+0% Minion Cast Speed
Minion|2|10|10|5|0% Minion Cast Speed Amplification
Minion|1|5|20|0|0% Physical DMG Taken by Minion Dampening
Minion|1|5|20|0|0% Chaos DMG Taken by Minion Dampening
Minion|1|5|20|0|0% Element DMG Taken by Minion Dampening
Minion|1|1|10|0|+0% Minion HP
Minion|2|3|10|5|0% Minion HP Amplification
Minion|3|10|2|5|Minion regenerates 0% of Max HP per Sec
Minion|1|3|10|0|+0% Minion Armor
Minion|2|5|10|5|0% Minion Armor Amplification
Minion|1|1|30|0|+0 Minion Element Resist
Minion|2|1|30|15|+0 Minion Chaos Resist
Minion|3|5|10|15|+0% Minion Element Resist
Minion|1|5|10|0|+0% Minion DMG Amplification against enemies under Fire Status Effect
Minion|1|5|10|0|+0% Minion DMG Amplification against enemies under Cold Status Effect
Minion|1|5|10|0|+0% Minion DMG Amplification against enemies under Lightning Status Effect
Minion|1|5|10|0|+0% Minion DMG Amplification against enemies under Poison Status Effect
Minion|1|5|10|0|+0% Minion DMG Amplification against enemies under Physical Status Effect
Minion|1|5|10|0|+0% Minion DMG Penetration
Minion|2|15|10|5|+0 Minion Element Penetration
Sentry|1|1|50|0|+0% Sentry DMG
Sentry|2|2|25|25|+0% Sentry DMG
Sentry|3|10|10|13|0% Sentry DMG Amplification
Sentry|4|30|2|5|+0 Sentry Skill Rune Level
Sentry|1|5|10|0|+0% Sentry Critical Rate
Sentry|2|10|20|5|+0% Sentry Critical DMG
Sentry|1|5|10|0|+0% Sentry Attack Speed
Sentry|2|10|10|5|0% Sentry Attack Speed Amplification
Sentry|1|1|10|0|+0% Sentry Hit Rate
Sentry|2|10|10|5|Amplifies Sentry Hit Rate by 0%
Sentry|1|5|20|0|0% Physical DMG Taken by Sentry Dampening
Sentry|1|5|20|0|0% Chaos DMG Taken by Sentry Dampening
Sentry|1|5|20|0|0% Element DMG Taken by Sentry Dampening
Sentry|1|1|10|0|+0% Sentry HP
Sentry|2|3|10|5|0% Sentry HP Amplification
Sentry|3|10|2|5|0% Sentry Max HP Regen/Sec
Sentry|1|1|10|0|+0 Sentry Armor
Sentry|2|3|10|5|+0% Sentry Armor
Sentry|3|5|10|5|Amplifies Sentry Armor by 0%
Sentry|1|1|30|0|+0 Sentry Element Resist
Sentry|2|1|30|15|+0 Sentry Chaos Resist
Sentry|3|5|10|15|+0% Sentry Element Resist
Sentry|1|5|10|0|+0% Sentry DMG Amplification against enemies under Fire Status Effect
Sentry|1|5|10|0|+0% Sentry DMG Amplification against enemies under Cold Status Effect
Sentry|1|5|10|0|+0% Sentry DMG Amplification against enemies under Lightning Status Effect
Sentry|1|5|10|0|+0% Sentry DMG Amplification against enemies under Poison Status Effect
Sentry|1|5|10|0|+0% Sentry DMG Amplification against enemies under Physical Status Effect
Sentry|1|5|10|0|+0% Sentry DMG Penetration
Sentry|2|10|10|5|+0 Sentry Element Penetration
Stat|1|1|100|0|+0 Strength
Stat|2|10|10|50|+0% Strength
Stat|1|1|100|0|+0 Dexterity
Stat|2|10|10|50|+0% Dexterity
Stat|1|1|100|0|+0 Intelligence
Stat|2|10|10|50|+0% Intelligence
Stat|1|1|10|0|+0% HP Regen/Sec
Stat|2|1|20|5|+0 HP
Stat|3|1|20|10|+0% HP
Stat|1|1|10|0|+0% Mana Regen/Sec
Stat|2|1|20|5|+0 Mana
Stat|3|1|20|10|+0% Mana
Stat|1|1|10|0|+0% Barrier Charge Cycle Recovery Speed
Stat|2|2|20|5|+0 Barrier
Stat|3|3|20|10|+0% Barrier
Stat|1|1|10|0|+0 Armor
Stat|2|3|10|5|+0% Armor
Stat|3|5|10|5|0% Armor Amplification
Stat|1|1|20|0|+0 Dodge Rate
Stat|2|3|10|10|+0% Dodge Rate
Stat|3|5|10|5|0% Dodge Rate Amplification
Stat|1|1|20|0|+0 Block Expertise
Stat|2|5|10|10|+0% Block Chance
Resistance|1|1|30|0|+0 Fire Resist
Resistance|2|5|10|15|+0% Fire Resist
Resistance|1|1|30|0|+0 Cold Resist
Resistance|2|5|10|15|+0% Cold Resist
Resistance|1|1|30|0|+0 Lightning Resist
Resistance|2|5|10|15|+0% Lightning Resist
Resistance|1|1|30|0|+0 Poison Resist
Resistance|2|5|10|15|+0% Poison Resist
Resistance|1|1|30|0|+0 Chaos Resist
Resistance|2|5|10|15|+0% Chaos Resist
Decrease|1|1|30|0|0% Critical DMG Taken Decrease
Decrease|2|5|10|15|0% Critical Chance Taken Decrease
Decrease|1|20|10|0|0% Debuff Skill Effect Taken Decrease
Decrease|1|5|10|0|0% Physical DMG Taken Dampening
Decrease|1|5|10|0|0% Fire DMG Taken Dampening
Decrease|1|5|10|0|0% Cold DMG Taken Dampening
Decrease|1|5|10|0|0% Lightning DMG Taken Dampening
Decrease|1|5|10|0|0% Poison DMG Taken Dampening
Decrease|1|5|10|0|0% Chaos DMG Taken Dampening
Movement|1|1|30|0|+0 Movement Speed
Movement|2|1|10|15|0% Movement Speed Increase
Movement|3|3|5|5|0% Movement Speed Amplification
