# type|slug|name|icon  (source: https://undecember.thein.ru/en/runes/)
Skill|ShoutOfTerror|Shout of Terror|Icon_Skill_BattleCry_01
Skill|FrostWave|Frost Wave|Icon_Skill_FrostWave_01
Skill|ShieldCharge|Shield Charge|Icon_Skill_ShieldCharge_01
Skill|Combo|Combo|Icon_Skill_VelocitySlash_01
Skill|IllusionAxe|Illusion Axe|Icon_Skill_RotateAxe_01
Skill|LightningStrike|Lightning Strike|Icon_Skill_LightningHit_01
Skill|ExplosiveSlash|Explosive Slash|Icon_Skill_ExplosionSlash_01
Skill|EarthBlow|Earth Blow|Icon_Skill_EarthShock_01
Skill|LeapAttack|Leap Attack|Icon_Skill_LeapAttack_01
Skill|Whirlwind|Whirlwind|Icon_Skill_Whirlwind_01
Skill|CrescentSlash|Crescent Slash|Icon_Skill_HalfmoonSlash_01
Skill|LightningVortex|Lightning Vortex|Icon_Skill_LightningVortex_01
Skill|IllusionHook|Illusion Hook|Icon_Skill_PhantomHook_01
Skill|ShieldStrike|Shield Strike|Icon_Skill_ShieldAttack_01
Skill|QuickSlash|Quick Slash|Icon_Skill_QuickSlash_01
Skill|Fissure|Fissure|Icon_Skill_GroundCrevice_01
Skill|WhirlwindSlash|Whirlwind Slash|Icon_Skill_TornadoSlash_01
Skill|Bloodshed|Bloodshed|Icon_Skill_Rupture_01
Skill|FrostStrike|Frost Strike|Icon_Skill_FrostSmash_01
Skill|FightersWrath|Fighter's Wrath|Icon_Skill_RunAway_01
Skill|BulwarkOfProtection|Bulwark of Protection|Icon_Skill_ProtectBarrier_01
Skill|ShoutOfProvocation|Shout of Provocation|Icon_Skill_Frenzy_01
Skill|BloodExplosion|Blood Explosion|Icon_Skill_BloodBurst_01
Skill|Guardian|Guardian|Icon_Skill_Guardian_01
Skill|EnduringPain|Enduring Pain|Icon_Skill_Endure_01
Skill|ElectricArea|Electric Area|Icon_Skill_LightningZone_01
Skill|WheelSlash|Wheel Slash|Icon_Skill_RotationalSlash_01
Skill|Sprint|Sprint|Icon_Skill_Sprinting_01
Skill|ThornExplosion|Thorn Explosion|Icon_Skill_Thorn-Explosion_01
Skill|TheAbsolutesHammer|The Absolute's Hammer|Icon_Skill_AbsoluteHammer_01
Skill|TenaciousRegeneration|Tenacious Regeneration|Icon_Skill_MindOfSteel_01
Skill|SealOfCondensedDestruction|Seal of Condensed Destruction|Icon_Skill_AuraOfDestruction_01
Skill|SealOfDefense|Seal of Defense|Icon_Skill_AuraOfDefense_01
Skill|SealOfCrowdControlDodge|Seal of Crowd Control Dodge|Icon_Skill_AddCCAbsResist
Skill|FireBlow|Fire Blow|Icon_Skill_FireBlow_01
Skill|DomainOfStrength|Domain of Strength|Icon_Skill_SpaceofForce_01
Skill|ShoutOfJustice|Shout of Justice|Icon_Skill_CourageCry_01
Skill|FierceStrike|Fierce Strike|Icon_Skill_Smash_01
Skill|FireStorm|Fire Storm|Icon_Skill_FireStorm_01
Skill|SealOfPhysicalDomain|Seal of Physical Domain|Icon_Skill_AuraOfReleasePhyDmg_01
Skill|SealOfStriking|Seal of Striking|Icon_Skill_AuraOfHit_01
Skill|ArcticShard|Arctic Shard|Icon_Skill_ShardofBitterCold_01
Skill|SpreadShot|Spread Shot|Icon_Skill_SpreadArrow_01
Skill|ExplosiveArrow|Explosive Arrow|Icon_Skill_ExplosionArrow_01
Skill|IcyArrow|Icy Arrow|Icon_Skill_FrostArrow_01
Skill|RapidShot|Rapid Shot|Icon_Skill_BarrageShot_01
Skill|PoisonCloud|Poison Cloud|Icon_Skill_PoisonEruption_01
Skill|PiercingArrow|Piercing Arrow|Icon_Skill_SharpenArrow_01
Skill|RainOfArrows|Rain of Arrows|Icon_Skill_RainofArrows_01
Skill|BurnArrow|Burn Arrow|Icon_Skill_ClusterBombArrow_01
Skill|CrossLightningArrow|Cross Lightning Arrow|Icon_Skill_ShockShot_01
Skill|DaggerThrow|Dagger Throw|Icon_Skill_ThrowDagger_01
Skill|Roll|Roll|Icon_Skill_Roll_01
Skill|CrossSlash|Cross Slash|Icon_Skill_CrossingoverSlash_01
Skill|SpinningDagger|Spinning Dagger|Icon_Skill_PhantomBurst_01
Skill|IllusionStrike|Illusion Strike|Icon_Skill_PhantomRaven_01
Skill|PiercingSentry|Piercing Sentry|Icon_Skill_SharpenCrossbow_01
Skill|FanBladeSentry|Fan Blade Sentry|Icon_Skill_SpreadCrossbow_01
Skill|ElectricSentry|Electric Sentry|Icon_Skill_DischargeCrossbow_01
Skill|DeadlyPoisonClaw|Deadly Poison Claw|Icon_Skill_PoisonFang_01
Skill|ShadowForest|Shadow Forest|Icon_Skill_ShadowForest_01
Skill|BladeOfDeath|Blade of Death|Icon_Skill_DeathKnife_01
Skill|BombardmentArrow|Bombardment Arrow|Icon_Skill_BombingArrow_01
Skill|DeadlyPoisonSkewer|Deadly Poison Skewer|Icon_Skill_PowerofPoison_01
Skill|UnleashLightningShot|Unleash Lightning Shot|Icon_Skill_ThunderboltArrow_01
Skill|FrostSentry|Frost Sentry|Icon_Skill_DetailedCrossbow_01
Skill|VitalStrike|Vital Strike|Icon_Skill_Blow_01
Skill|Marksman|Marksman|Icon_Skill_MaskMan_01
Skill|IllusionArrow|Illusion Arrow|Icon_Skill_PhantomArrow_01
