# rarity|slug|name|icon (source: https://undecember.thein.ru/en/runecast/)
Magic|RuneGrowthMagicRunestone|Rune Growth Magic Runestone|Icon_Equipment_RuneCastAddEquipRuneLevel
Magic|ResourceCostMagicRunestone|Resource Cost Magic Runestone|Icon_Equipment_RuneCastAddResource
Magic|AreaOfEffectMagicRunestone|Area of Effect Magic Runestone|Icon_Equipment_RuneCastIncAOE
Magic|MinionAttackSpeedMagicRunestone|Minion Attack Speed Magic Runestone|Icon_Equipment_RuneCastIncMinionAtkSpd
Magic|SentryCriticalRateMagicRunestone|Sentry Critical Rate Magic Runestone|Icon_Equipment_RuneCastIncCrossBowAllDmg
Magic|HPRecoveryMagicRunestone|HP Recovery Magic Runestone|Icon_Equipment_RuneCastAddHPGainOnHit
Magic|DMGAmplificationMagicRunestone|DMG Amplification Magic Runestone|Icon_Equipment_RuneCastMorAllDmg
Magic|CriticalDMGMagicRunestone|Critical DMG Magic Runestone|Icon_Equipment_RuneCastAddAllCritDmgRate
Magic|MinionHitRateMagicRunestone|Minion Hit Rate Magic Runestone|Icon_Equipment_RuneCastIncAllAccuracyToMinion
Magic|SentryHitRateMagicRunestone|Sentry Hit Rate Magic Runestone|Icon_Equipment_RuneCastAccuracyToCrossBow
Magic|AttackSpeedMagicRunestone|Attack Speed Magic Runestone|Icon_Equipment_RuneCastIncAtkSpd
Magic|CastSpeedMagicRunestone|Cast Speed Magic Runestone|Icon_Equipment_RuneCastIncCastSpd
Magic|EliteDMGMagicRunestone|Elite DMG Magic Runestone|Icon_Equipment_RuneCastIncDmgToEliteGrade
Magic|ArmorPenetrationMagicRunestone|Armor Penetration Magic Runestone|Icon_Equipment_RuneCastAddArmourPenRate
Magic|ElementPenetrationMagicRunestone|Element Penetration Magic Runestone|Icon_Equipment_RuneCastElementalPenRate
Magic|SentryAttackSpeedMagicRunestone|Sentry Attack Speed Magic Runestone|Icon_Equipment_RuneCastIncAtkSpdToCrossBow
Magic|MinionCriticalRateMagicRunestone|Minion Critical Rate Magic Runestone|Icon_Equipment_RuneCastCritDmgRateToMinion
Magic|MinionDMGPenetrationMagicRunestone|Minion DMG Penetration Magic Runestone|Icon_Equipment_RuneCastAllDmgPenRateToMinion
Magic|SentryDMGPenetrationMagicRunestone|Sentry DMG Penetration Magic Runestone|Icon_Equipment_RuneCastAllDmgPenRateToCrossBow
Magic|AttackSealEffectMagicRunestone|Attack Seal Effect Magic Runestone|Icon_Equipment_RuneCastIncOffAuraEffect
Magic|DefenseSealEffectMagicRunestone|Defense Seal Effect Magic Runestone|Icon_Equipment_RuneCastIncDefAuraEffect
Magic|EnchanceSkillRuneCooldownRecoverySpeedMagicRunestone|Enhance Skill Rune Cooldown Recovery Speed Magic Runestone|Icon_Equipment_RuneCastRedCooltimeToBuffSkill
Magic|MinionDMGAgainstElitesMagicRunestone|Minion DMG against Elites Magic Runestone|Icon_Equipment_RuneCastIncDmgToEliteGradeToMinion
Magic|SentryDMGAgainstElitesMagicRunestone|Sentry DMG against Elites Magic Runestone|Icon_Equipment_RuneCastIncDmgToEliteGradeToCrossBow
Magic|AttackEnhanceSkillDurationMagicRunestone|Attack Enhance Skill Duration Magic Runestone|Icon_Equipment_IncBuffDurationTimeToAttackBuffSkill
Magic|DefenceEnhanceSkillDurationMagicRunestone|Defence Enhance Skill Duration Magic Runestone|Icon_Equipment_IncBuffDurationTimeToDefenseBuffSkill
Magic|DMGStatusEffectChanceMagicRunestone|DMG Status Effect Chance Magic Runestone|Icon_Equipment_AddDmgAbsProcRate
Magic|MinionDMGStatusEffectChanceMagicRunestone|Minion DMG Status Effect Chance Magic Runestone|Icon_Equipment_AddDmgAbsProcRateToCrossbow
