# tier|slug|name|icon (source: https://undecember.thein.ru/en/uniques/) ; type inferred later from icon prefix
10|StarChasersArmor|Star Chaser's Armor|Icon_Equipment_BodyArmorU037
10|StarChasersBoots|Star Chaser's Boots|Icon_Equipment_BootsU026
10|StarChasersNecklace|Star Chaser's Necklace|Icon_Equipment_NecklaceU032
10|StarChasersRing|Star Chaser's Ring|Icon_Equipment_RingU034
10|StarChasersSpaulders|Star Chaser's Spaulders|Icon_Equipment_ShoulderU028
10|StarChasersGauntlets|Star Chaser's Gauntlets|Icon_Equipment_GlovesU028
10|StarChasersHelmet|Star Chaser's Helmet|Icon_Equipment_HelmetU026
10|StarChasersTwo-HandedAxe|Star Chaser's Two-Handed Axe|Icon_Equipment_TwoHand_AxeU012
10|StarChasersBow|Star Chaser's Bow|Icon_Equipment_BowU020
10|StarChasersStaff|Star Chaser's Staff|Icon_Equipment_StaffU015
10|StarChasersBelt|Star Chaser's Belt|Icon_Equipment_BeltT001
10|StarChasersPromise|Star Chaser's Promise|Icon_Equipment_RingT006_02
10|FallenStarlightDagger|Fallen Starlight Dagger|Icon_Equipment_DaggerDummy
10|FallenStarlight1handedSword|Fallen Starlight 1-handed Sword|Icon_Equipment_SwordDummy
10|FallenStarlight1handedAxe|Fallen Starlight 1-handed Axe|Icon_Equipment_AxeDummy
10|FallenStarlight1handedBlunt|Fallen Starlight 1-handed Blunt|Icon_Equipment_MaceDummy
10|FallenStarlightScepter|Fallen Starlight Scepter|Icon_Equipment_SceptreDummy
10|FallenStarlightWand|Fallen Starlight Wand|Icon_Equipment_WandDummy
10|FallenStarlightMinionWand|Fallen Starlight Minion Wand|Icon_Equipment_WandDummy
10|FallenStarlightStaff|Fallen Starlight Staff|Icon_Equipment_StaffDummy
10|FallenStarlight2handedSword|Fallen Starlight 2-handed Sword|Icon_Equipment_TwoHand_SwordDummy
10|FallenStarlight2handedAxe|Fallen Starlight 2-handed Axe|Icon_Equipment_TwoHand_AxeDummy
